pergunta	resposta
O que é a Base Nacional Comum Curricular?	É um documento normativo que define o conjunto de aprendizagens essenciais que todos os alunos devem desenvolver ao longo das etapas e modalidades da Educação Básica. A Base deverá nortear a formulação dos currículos dos sistemas e das redes escolares de todo o Brasil, indicando as competências e habilidades que se espera que todos os estudantes desenvolvam ao longo da escolaridade. O documento contém: Textos Introdutórios geral e por áreas; Competências gerais que os alunos devem desenvolver ao longo de todas as etapas da Educação Básica; Competências específicas de cada área do conhecimento e dos componentes curriculares; Habilidades relativas a diversos objetos de conhecimento que os alunos devem desenvolver a cada etapa da Educação Básica; e O sequenciamento das habilidades de cada componente curricular para cada ano ou bloco de anos.
Qual é o objetivo da BNCC?	O principal objetivo da BNCC é ser a balizadora da qualidade da educação no País por meio do estabelecimento de um patamar de aprendizagem e desenvolvimento a que todos os alunos têm direito.
Qual a diferença entre BNCC e currículo?	A BNCC é uma referência obrigatória, mas não é o currículo. A Base estabelece as aprendizagens essenciais a serem desenvolvidas pelos alunos em cada etapa da Educação Básica. Já o currículo define o conjunto de decisões que possibilitam materializar tais aprendizagens, como a contextualização dos conteúdos, as estratégias educacionais, a forma de organização dos componentes curriculares e as metodologias a serem empregadas. As redes e os sistemas de ensino têm autonomia para elaborar ou adequar seus currículos com base na BNCC, e as escolas podem contextualizá-los em seus projetos pedagógicos.
Como foi o processo de discussão sobre a elaboração da BNCC?	O Conselho Nacional de Educação (CNE) realizou audiências públicas em 2017 para Educação Infantil e Ensino Fundamental, e em 2018 para Ensino Médio. O CNE também coletou contribuições públicas enviadas por pessoas e instituições de todo o país. Todas as contribuições recebidas foram analisadas e geraram alterações no documento.
O conteúdo da BNCC foi construído democraticamente?	Sim. As versões preliminares da Base receberam milhões de contribuições públicas. A primeira versão resultou de um processo colaborativo com especialistas e contribuições da sociedade. A segunda foi amplamente discutida, recebendo mais de 12 milhões de contribuições. Em 2016, a terceira versão novamente passou por consulta pública, recebendo mais de 44 mil sugestões de aprimoramento.
Como será o processo de implementação da BNCC?	O MEC criou o programa Pró-BNCC, com equipes em cada rede pública estadual em articulação com redes municipais, para apoiar o processo de elaboração e implementação dos currículos alinhados à BNCC.
Como a BNCC irá contribuir para a melhoria da educação no Brasil?	A ausência de indicações claras sobre o que todos os alunos devem aprender tem impacto direto na qualidade da educação. A BNCC traz com precisão as competências que todos os alunos devem desenvolver. Isso permite que redes e sistemas adequem seus currículos e que escolas organizem melhor seus projetos pedagógicos, garantindo aprendizagens essenciais.
Como a Base Nacional Comum Curricular afeta os pais e as famílias?	A definição de objetivos de aprendizagem comuns para todo o país permite que as famílias acompanhem melhor a educação dos filhos e compreendam com mais clareza a qualidade do ensino. Isso favorece maior participação no processo de aprendizagem.
Outros países também construíram bases curriculares nacionais?	Sim. A construção da BNCC segue uma tendência internacional observada em países que reformaram seus sistemas educacionais. Entre eles: Austrália, Estados Unidos, Inglaterra, África do Sul, Cuba, Chile, Portugal e Coreia do Sul.
A BNCC substitui os Parâmetros Curriculares Nacionais (PCN)?	Não. Os PCN continuam como documentos de referência, mas a BNCC, por ser normativa, estabelece direitos de aprendizagem que devem ser contemplados em todos os currículos. Ela atualiza e aprofunda conceitos presentes nos PCN.
